,지역,2013년 01월,2013년 02월,2013년 03월,2013년 04월,2013년 05월,2013년 06월,2013년 07월,2013년 08월,2013년 09월,2013년 10월,2013년 11월,2013년 12월,2014년 01월,2014년 02월,2014년 03월,2014년 04월,2014년 05월,2014년 06월,2014년 07월,2014년 08월,2014년 09월,2014년 10월,2014년 11월,2014년 12월,2015년 01월,2015년 02월,2015년 03월,2015년 04월,2015년 05월,2015년 06월,2015년 07월,2015년 08월,2015년 09월,2015년 10월,2015년 11월,2015년 12월,2016년 01월,2016년 02월,2016년 03월,2016년 04월,2016년 05월,2016년 06월,2016년 07월,2016년 08월,2016년 09월,2016년 10월,2016년 11월,2016년 12월,2017년 01월,2017년 02월,2017년 03월,2017년 04월,2017년 05월,2017년 06월,2017년 07월,2017년 08월,2017년 09월,2017년 10월,2017년 11월,2017년 12월,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월
0,전국  5년 이하,93,92.7,92.5,92.4,92.6,92.5,92.3,92.1,92.1,92.4,92.6,92.8,93.3,93.4,93.7,93.7,93.7,93.7,93.7,93.8,94,94.3,94.5,94.7,94.9,95.1,95.3,95.8,96.2,96.7,96.9,97.1,97.4,97.8,98.2,98.4,98.4,98.5,98.5,98.4,98.4,98.4,98.4,98.5,98.5,98.6,98.8,98.9,98.9,98.8,98.9,98.9,99,99.2,99.5,99.7,99.9,100,100,100.1,100.3,100.6,100.9,101.1,101.1
1,전국  5년 초과 ~ 10년 이하,91.8,91.6,91.5,91.7,91.9,91.9,91.8,91.7,91.8,92.2,92.5,92.7,92.8,93.1,93.4,93.5,93.6,93.6,93.7,93.8,94.1,94.4,94.6,94.8,95,95.2,95.6,96.1,96.5,97,97.3,97.6,98,98.3,98.7,98.9,98.9,98.9,98.8,98.8,98.8,98.8,98.7,98.7,98.8,98.9,99.1,99.1,99.1,99.1,99.2,99.2,99.3,99.4,99.5,99.7,99.7,99.9,100,100.1,100.4,100.7,100.9,101.0,100.9
2,전국  10년 초과 ~ 15년 이하,90.7,90.5,90.4,90.6,90.9,91,91,90.9,90.9,91.4,91.7,91.9,92.1,92.4,92.7,92.8,92.8,92.9,92.9,93.1,93.4,93.7,94,94.1,94.3,94.6,95,95.6,96,96.5,96.9,97.2,97.6,98.1,98.5,98.7,98.7,98.8,98.7,98.7,98.7,98.7,98.8,98.8,98.9,99.1,99.2,99.3,99.2,99.2,99.3,99.3,99.4,99.6,99.7,99.8,99.9,100,100,100.0,100.1,100.2,100.3,100.4,100.3
3,전국  15년 초과 ~ 20년 이하,89.7,89.5,89.4,89.6,89.9,90,90.1,90,90.1,90.6,90.9,91.3,91.9,92.3,92.7,92.9,92.9,93,93,93.2,93.6,93.9,94.1,94.4,94.6,94.8,95.2,95.8,96.3,96.8,97.1,97.5,97.9,98.4,98.8,99,99,99,98.9,98.9,98.9,98.8,98.8,98.9,99,99.1,99.4,99.4,99.4,99.4,99.4,99.4,99.5,99.6,99.8,99.9,99.9,100,100,100.0,100.0,100.1,100.1,100.1,99.9
4,전국  20년 초과,89.1,88.9,88.8,89,89.2,89.2,89.1,88.9,89,89.3,89.5,89.6,90,90.3,90.6,90.7,90.8,90.8,90.9,91,91.4,91.8,92.1,92.3,92.6,92.9,93.3,94,94.5,95.1,95.4,95.8,96.3,96.7,97.2,97.3,97.4,97.4,97.3,97.4,97.5,97.6,97.7,97.8,98,98.3,98.6,98.6,98.6,98.6,98.7,98.8,98.9,99.2,99.5,99.8,99.8,99.9,100,100.1,100.4,100.6,100.7,100.6,100.4
5,수도권  5년 이하,93.2,92.7,92.3,92.1,92.2,91.9,91.5,91.2,91.1,91.5,91.6,91.7,92.3,92.4,92.7,92.6,92.5,92.5,92.4,92.4,92.8,93,93.2,93.2,93.3,93.6,93.9,94.4,94.9,95.5,95.7,96,96.4,96.8,97.2,97.4,97.4,97.5,97.4,97.4,97.4,97.3,97.4,97.5,97.6,97.8,98,98.1,98.2,98,98.1,98.1,98.2,98.4,98.7,99.1,99.4,99.6,100,100.2,100.7,101.6,102.3,102.8,103.0
6,수도권  5년 초과 ~ 10년 이하,90.9,90.5,90.2,90.3,90.5,90.5,90.2,90,90.1,90.5,90.7,90.9,90.9,91.2,91.7,91.7,91.6,91.6,91.6,91.7,92,92.3,92.5,92.6,92.8,93.1,93.5,94.1,94.5,95,95.4,95.7,96.1,96.5,96.9,97.1,97.2,97.2,97.2,97.2,97.2,97.3,97.4,97.5,97.7,97.9,98.1,98.2,98.3,98.3,98.3,98.4,98.6,98.9,99.1,99.4,99.5,99.8,100,100.2,100.9,101.5,101.9,102.0,102.1
7,수도권  10년 초과 ~ 15년 이하,89.7,89.3,89.1,89.3,89.5,89.5,89.3,89,89.1,89.6,89.9,90,90,90.3,90.7,90.7,90.6,90.6,90.6,90.8,91.2,91.5,91.7,91.8,92,92.3,92.7,93.3,93.9,94.5,94.9,95.3,95.8,96.3,96.8,97.1,97.1,97.1,97.1,97.1,97.2,97.3,97.5,97.6,97.8,98.1,98.3,98.4,98.4,98.4,98.5,98.6,98.8,99.1,99.3,99.6,99.7,99.9,100,100.2,100.5,100.8,101.2,101.5,101.6
8,수도권  15년 초과 ~ 20년 이하,86.6,86.2,85.9,85.9,86.1,86.2,86.1,85.8,86,86.5,86.7,87,87.7,88.2,88.7,88.8,88.8,88.7,88.8,89,89.5,89.9,90.1,90.3,90.5,90.8,91.3,92,92.5,93.1,93.7,94.1,94.7,95.4,95.8,96.2,96.2,96.2,96.2,96.3,96.4,96.6,96.8,97,97.2,97.5,97.8,97.9,98,98,98,98.2,98.5,98.9,99.1,99.5,99.6,99.8,100,100.2,100.4,100.8,101.1,101.2,101.3
9,수도권  20년 초과,86.3,86,85.8,85.8,85.9,85.7,85.3,84.9,85,85.2,85.3,85.3,85.7,86,86.4,86.4,86.3,86.2,86.2,86.4,86.9,87.4,87.7,87.8,88,88.4,89,89.9,90.6,91.3,91.8,92.3,92.9,93.4,94,94.3,94.3,94.3,94.3,94.4,94.5,94.8,95.1,95.4,95.7,96.2,96.7,96.8,96.7,96.8,96.9,97.1,97.4,98,98.5,99.3,99.4,99.7,100,100.5,101.2,102.0,102.4,102.5,102.5
